text,label
친구와 함께 1박을 하였습니다 객실은 높은 층으로 도로쪽 뷰로 달라고 하니 그래도 전망이 괜찮더라구요이것저것 요구를 많이 했는데도 웃으시면서 잘 응대해주셔서 좋았어요^^조식도 맛있었고 피트니스도 깔끔하고 전체적으로 마음 편하게 쉬고온거같아요,
"밤 쇼핑을 나가기엔 딱 좋은 장소에 위치하고 있습니다. 호텔 앞에 공항버스 정류소가 있어서, 짐을 끌며 걸을 필요도 없더군요. 코인세탁기도 있어 세탁도 가능하니, 옷을 따로 가져오지 않아도 좋겠더라구요! 일본에 짐을 부칠 경우에도, EMS의 픽업서비스를 신청하면, 방까지 짐을 가지러 와 준답니다. 방은 좀 좁은데다, 화장실과 샤워실도 붙어있어, 다소 불편함이 있을지도 모르겠습니다만, 근처에 사우나도 있기 때문에, 이용하시면 좋으실거예요.",9
딱 비지니스호텔느낌이예요방작긴하지만 그래도 비지니스트립으로는 괜찮은듯..화장실도깔끔하고저렴하고 괜찮았습니다,9
입구부터 너무 아기자기하게 잘꾸며져있어요!직원분들도 너무 친절하구요!화장실도 항상 깔끔하게 관리되는거 같아요!갈때마다 깨끗했어요ㅎㅎ그리고 위치!위치가 너무좋아요홍대주변 게스트하우스중에는번화가랑 제일가까운편인거같아요,
처음 예약을 할땐  다른곳에 방이 없어서  혹시나하고 예약을 했는데 때마침 방이 가능해서 정말 다행 이었습니다.늦게 도착해서 미안하기도 했는데 주인 아주머니께서 친절하게 맞이해주셔서 감사합니다.주신 오미자차는 정말 잘 마셨습니다.다른곳과 달리 이곳은 방마다 화장실이 딸려 있엇고 비데까지 있는 상태로 최근에 리모델링을 해서 그런지 깨끗하고 넓었습니다.마당이 널찍하고 한쪽으로 예쁜꽃들이 심겨진 화분은 정말 한옥과 잘어울리는 풍경이 었습니다.그리고 아삐라는 강아진 게스트하우스 개 답게 정말 손님들을 잘따르는 게 귀여웠습니다.방에서 문을 열어 놓으니 마루까지 올라와서 꼬리를 살랑살랑 흔드는게 시골집에 온 느낌이 었습니다. 이날은 꽤 더운 날이 었는데 방은 선선해서 양옥과 다른 운치를 느낄수가 있었습니다.아침식사를 한식으로 시켰는데 기대하지 않고 받은 식사가 꽤 훌륭하고 맛있었습니다.어쨌던 다음에 다시방문할 기회가 있길 빌며후기를 마침니다.,
"2011년 4월에 친구와 함께 이용을 했었어요. 방은 깨끗했고 시설도 다 갖추어져 있었어요. 넓은 창문으로 좋은 거리 전망도 볼 수 있었어요. 게다가, 지하철 역으로도 쉽게 갈 수 있었고 MayB와 최고의 아침식사를 먹은 Angel-in-Us 등과 같은 카페도 매우 많았어요. 제가 주로 이용했던 곳은 엔젤이너스였어요!! 그리고 근처엔 작은 레스토랑도 많았고요. 그리고 걸어서 7-10분이면 이마트로도 갈 수 있었어요.다만 택시기사분과 호텔직원 사이에 다툼이 있었는데요. 택시 기사분 말로는 호텔 직원이 기사분이 호텔 앞에서 기다리는 동안 직원이 차를 주차해 두지 말라며 밀쳤다고 하더군요.. 다른 호텔에선 무료 커피나 차를 주는 등 대접이 좋은 편이라는 이야기도 들었고요.. 하지만 개인적으로 호텔 손님들에겐 직원들이 친절하게 대해주어서 다행이었어요. 그리고 꼭 다시 다음번에도 이용하고 싶고요!",14
"조용하고 (가끔 오토바이 소음 있음)깨끗한편이며,가격도 프로모션 중이어서 좋습니다.근처 성신여대근처는 먹을곳도 많아요.",0
"편안하게 쉬고 가요경복궁과 북한산이 잘 보이는 전망이 너무 좋았고, 인테리어 또한 고급스러웠습니다.침구도 욕실도 청결하며 조식도 좋았습니다.다음에도 또 방문하고 싶다.",
롯데시티호텔 김포공항 점은 처음 방문이었어요!근데 체크인할때부터 직원들이 너무 웃는 얼굴로 맞아주셔서 너무 감동이었어요! 공항뷰로 예약했는데 진짜 남편도 그렇고 저희아이도 그렇고 진짜 감탄했어요 ㅠㅠㅠ 역시 김포공항점에서만 볼수있는 뷰인거같아요 ? 외출할때 로비지나가는데 직원들이 크게 인사해주시고 환하게 응대해주셔서 너무좋았어요 역시 롯데서비스는 좋은거같아요다음에 꼭 다시 방문할거에요!공항에서도 가깝고 뷰도좋고 가족들과 보내기에 너무 좋은호텔이라서 강추해요,
"포시즌스호텔 더마켓키친 런치타임 이용했어요. 음식은 종류가 많지는 않지만 하나하나 음식의 퀄리티가 좋았습니다. 포시즌스호텔 지하에 위치해있는데 인테리어나 이런것들이 고급스러워서 분위기가 아주 좋았어요. 섹션별로 요리들도 퀄리티가 높았구요. 런치라고 생각하니 가격이 살짝 아쉬운 느낌이 있었네요. 와인도 한병 마셨습니다. 바닥이 투명으로 되어있어서 독특하다는 느낌이 들었구요, 디저트는 너무 맛있습니다. 가격적인 면으로 봤을때 런치보다 디너를 더 추천합니다.",10
방은 좁지만 심플해서  좋았고침대가 쾌적했어요주변시설은 특별한게 없구요젊은분들이 좋아하실 인테리어스타일이에요,9
완전 좋아한다. 언니도 좋고 방도 좋다.  지하철도 가까워..쇼핑도 편해요..즐거운 시간 지냈어요..,
가격과 위치도 서울 도심을 여행하기에 매우 적합하지만 무엇보다 호텔 청결과 침구류 베드 사이즈도 정말 만족스러워요.  초등 저학년 아이와 성인이 한 침대에 머물러도 너무 편해서 직접 데스크에 문의도 했어요 다른 방 주신 거 아니냐고 ^^ 기본적으로 슈퍼 싱글과 퀸 사이즈 중간 사이즈 침대가 배치되어 있다네요 정말 편안한 잠자리 였어요 그리고 꼬치꼬치 묻고 인터넷에 능하지 않은 아줌마 고객에게 끝까지 친절하게 응대해주신 alex chung 직원님 감사합니다. ^^  덕분에 메리어트 앱을 통해서 메리어트 뿐만 아니라 다른 연계 호텔들도 쉽게 예약할수 있겠네요,
리모델링하고 나서 숙박하면서 더 좋아진것 같아서 만족합니다.가격을 넘어 모든 서비스측면에서 최고라고 뿌듯해요.가족들과 특별한 시간 보냈습니다.,
"외관은 일본의 러브호텔과 같지만, 여행객이 많이 묵고 있더라구요. 입지가 좋아, 지하철역에서 도보 1~2분 정도였어요(처음엔 헤맬 수도 있지만, 입체주차장에서 좁은 길을 따라 북쪽으로 오다가, 오른편에 있는 고기집을 돌면 있답니다). 북쪽으로 미니스톱, 남쪽에 패밀리마트, 서쪽으로 세븐일레븐, 지하철역 앞에는 GS25가 있어 편리하더군요. 방은 좁아, 세미더블침대에 고장난 에어컨(여름, 겨울엔 좀 힘들지도?)이 있었어요. 화장실과 샤워실이 붙어있는데, 배수가 잘 안되더군요. 아메니티는, 치약(양이 많아요), 화장수, 유액, 비누, 면도로션, 면봉, 헤어젤, 칫솔, …살충제… 실내복과 슬리퍼는 없고, 칫솔은 유료로, 1000원입니다. DVD도 볼 수 있더군요. 웰컴드링크(오렌지/파인애플쥬스 250ml각각1개)는 매일 무료고, 침대정리, 수건교환도 매일 이뤄지고 있답니다. NHK는 수신불가인데, 일본 드라마는 볼 수 있었어요. 위 내용에 이 가격이라면 괜찮다고 봅니다. 날씨가 좋은 3~5월의 봄이나, 9~11월의 가을에 묵는걸 추천해요. 주위환경도, 심야에 혼자 걸어도 괜찮을만큼 치안이 나쁘지 않았습니다. 부부, 연인, 친구끼리라면 괜찮다고 생각합니다만, 가족동반이라면 추천해 드리기가 그렇네요. 방이 좁은거랑, 분위기가 러브호텔같기 때문입니다.",9/20
가족이나 친구 연인과 방문할시에는 큰 충격을 받을 수있겠습니다 그냥 출장객 수준에서 이용하거나 적당히 저렴한 가격에 합리적인 위치접근성을 원한다면 이용하세요,20
처음에 위치 찾는게 쉽지 않았습니다. 평일이라  8인실에 혼자 있어서 비교적 편안했습니다.그런데 호스텔 앞 공사장이 있어 소음때문에 자는데 불편했습니다.다음날 조식은 메뉴가 좀 더 다양했으면 좋겠습니다.,0/3/10
가족 숙박으로 하루 묵었습니다스탠더드 더블+싱글 베드 구조인데 방 크기가 딱 떨어져 공간이 모자란 느낌입니다와인잔이나 스낵바 공간에 음료수 배치가 아예 안되어있고 일부 거실등이 고장나서 아쉽네요,8/19
주말에 방문했는데 방도 깨끗하고 직원들 너무 친절했습니다. 특히 로비라운지 음식 너무 맛있고 다들 친절하시네요. 기회 되면 꼭 재방문 할게요~!,
부산에서 출장을 홍대로 오게 됬는뎅 ~~막상 호텔에 혼자들어 가는것도 그렇고  마침 서울에 게스트 하으스가 생각나서 인터넷 검색중 눈이가는 이쁜 곳 발견  찜~~하공 찾아간곳에 멋진 사장님과 메니져 분들이 계셨당 ~~^^  넘좋은건 친절하공 안전하게 숙박 할수 있고 홍대 중심지에도 불구하고 조용 하게  숙박 할수 있다 .장점만 보이는 곳이라 나중에  장기 출장 오게 되면 이곳에서 다시 지내고 싶당~~짧은 시간이지만  기억속에  이쁘고 센티하고 지적인 곳인곳 같다~~~다음을 기약하며~~^^,
"봄에 가족과 여행갔었는데 좋았습니다. 남산뷰가 좋았구요. 라운지 음식도 괜찮았습니다.리모델링 진행중이라 리모델링 된 방이 훨씬 좋았습니다.침대 상태는 아주 좋았고, 주위에 남산과 남대문이 있어서 나들이 하기도 좋았네요.주말에 편안한 마음으로 쉬러가기 좋습니다.",
가족들 모두 만족할정도로 훌륭한 서비스 입니다.어느 직원분 할거없이 최상의 서비스로 투숙내내 편안함주셔서 감사하네요 ^ ^ 라운지에서도 푸드.주류 모두 만족했구요호텔.동선도 편안해서 이동간에도 수월했습니다,
지방에서 사업을 하고있는데 늘 서울역까지 가기편한 호텔을 찾았는데 이젠  고민할필요가 없네요 첫투숙은 저혼자라 기본룸 선택했습니다 객실이작긴 했는데 두명쓰기엔 딱 적당한정도 직원 친절도는 감히 가본 호텔 중 최고였다고 생각합니다 객실어메니티는  거의 다 들어가있네요 얼마전 동급타호텔에선 거의 구매하란식이었고 뭐 부탁하면 가지러 오란식인데 여긴 호텔답습니다,9
"설 연휴에 하루쯤 푹 쉬고 싶어서 그랜드 앰배서더 서울에서 1박 했습니다. 이그제큐티브 프리미어 트윈룸 시티뷰였고요. 트렌디하거나 화려하지는 않았지만 대신 관리가 잘 된, 클래식한 느낌이었습니다. 모든 직원 분들이 친절하셨고 적절히 응대해 주셔서 만족도가 더 높았습니다. 조식 뷔페도 한식, 중식, 양식이 적절히 섞인, 꼭 있어야 할 것들만 내실 있게 준비돼 있다는 인상을 받았습니다. 한 가지 아쉬운 점은 욕실의 물 온도를 냉수와 온수 레버를 각각 움직여 조절해야 한다는 점이었어요. 왜 이런 방식을 채택했는지 잘 모르겠습니다. 그 외에는 특별히 거슬리는 점 없이, 편안하고 아늑한 분위기에서 푹 쉴 수 있어 좋았습니다(수영장이나 사우나 같은 부대시설은 이용하지 않아 의견을 쓸 수가 없네요).",20
"호텔 설비는 좋습니다. 가장 마음에 든 것은 세면대랑 화장실?욕실이 떨어져 있다는 것이었습니다. 친구가 목욕을 하고 있을 때 세면대를 쓸 수 있어 좋았습니다. 방 크기는 보통이었지만 설비가 새롭고 깨끗했습니다. 역에서도 가까워서 편리하지만 호텔 주변에는 편의점이 1군데 있을 뿐입니다. 동대문, 명동까지는 걸어서 15분 정도 걸립니다. 저는 김포공항에서 지하철로 왔습니다. 지하철로 40분 정도 걸리지만, 김포에서 환승없이 올 수 있어 편리했습니다. 가까운 역(을지로 사가역)은 사람들이 별로 이용하지 않아 한산했습니다. 하지만 여행가방을 들고 계단을 오르내릴 때 사람들이랑 부딪힐 일이 없어서 좋았습니다. 이전에 명동에 있는 호텔에 묵었을 때는 너무 사람이 많아서 계단 오르내리기가 힘들었던 기억이 있습니다.",2
너무친절하고  앞으로도  자주이용할것입니다 굿   감사합니다    자세한 안내 객실깨끗합니다그리고   품격이  있는것같습니다,
"프론트의 직원이 친절하게 안내해줘서 좋았다. 김포공항 활주로가 보이는 객실에 묵었는데 뷰도 좋았고, 걱정했던 소음은 없었다. 롯데몰과 연결되어 있어 쇼핑이나 외식을 하기에 편리했다. 조식의 가짓수는 적었지만 맛은 다 괜찮았다. 김포공항 역과도 지하로 전부 연결되어 있어 대중교통을 이용하더라도 편리하게 이용할 수 있을 것 같다. 다만 엘리베이터가 느린지 오래 기다려야만 했다. ",8/10
"커뮤니티 사이트의 게스트하우스 추천 글을 보고 이용하게 되었는데 기대이상 ! 6인실 예약했는데 그 날 6인실 이용하는 사람이 저 밖에 없어서 1인실처럼 이용했어요, 이불이 포근하고 깨끗해서 정말 좋았습니다.  특히 제가 일때문에 컴퓨터가 필요해서 pc방 찾아가려고 했는데 사장님께서 흔쾌히 컴퓨터 사용할 수 있게 해주셔서 이틀동안 너무 감사했습니다. ㅠㅠ 샤워실이랑 화장실도 깨끗하고 좋았고, 침대마다 집게로 스탠드 달려있는 것도 좋았어요 ! 제가 일때문에 바빠서 다른 게스트분들과 못어울려서 아쉬웠는데 항상 사장님께서 챙겨주셔서 감사했어요, 1층에 거실이랑 주방도 깔끔하고 제가 머물렀던 방이랑 화장실, 샤워실 다 깔끔하고 예뻤습니다. 겨울이라 추워서 테라스이용은 못했는데 날씨 따뜻해지면 방에 있는 테라스도 정말 좋을 것 같았어요. 2호선 합정역보다는 6호선 망원역이 더 가까워서 저는 망원역까지 걸어가서 환승하는 방법으로 다녔고요 합정역에서 갈때는 버스타면 되더라구요 ! 조용하고 깨끗해서 쉬기 좋았어요, 다음에 일 때문에 아니라, 서울에 놀러가면 또 이용하고 싶어요. 추천합니다!",
호텔이 너무 마음에들어 글 남겨요 ㅎㅎ 친구들이랑 송년회겸 간단한 파티를 하려해서 장소를 찾았는데 쉽지 않더라구요. 그런데 롯데시티마포에서 레이디스패키지인가 여성들을 위한 패키지가 있어서 예약을 했어요 비지니스급이라길래 방이 크진 않겠구나 했는데 막상 가보니 크고 좋더라구요.알고봤더니 친구말로는 스위트였다고ㅋㅋ 요금도 스위트라곸ㅋㅋ 아무튼 방도 크고 석식에다가 즉석사진기도 있길래 사진도 많이 찍고 엄청 좋았어요~ 직원분들도 친절하시구 사진도 찍어주셨어욬ㅋㅋ하나부터 열까지 다 만족스러운 호텔이었습니다,
우리나라에 디자인 체인 호텔이 2개 있다던데 그중 하나가 여의도의 글래드 호텔이라고 하더군요. 일단 믿고 예약했는데 실제로 가보니깐 채도도 적당하고 디자인이 아주 깔끔하고 좋았습니다. 룸 컨디션도 좋았어요. 가격도 합리적이고 직원 응대도 아주 훌륭했습니다. 여의도에서 급하게 비즈니스 호텔이 필요할 때 이용하면 좋을 것 같습니다.,
일전에도 이 호텔에서 숙박하면서  사용한 비지니스라운지에 설치된 PC무료사용을 매우 유용하게 이용하였다.,
결혼기념으로 남편이랑 서울여행다녀왔어요~ 위치도 서울역 앞이고 새로생긴 호텔이라 기대를 많이 했는데 너무 만족스러웠어요♡가구냄세가 좀 나길래 프론트에 전화했더니 공기청정기  주셔서 편하게 지낼수있었어요*   방도 괞챤고- 담에  남편 서울출장 때 따라가고 싶어요ㅎㅎ,
호텔 자체적으로 깔끔하고 직원들도 상당히.친절함. 바로 옆 인사동이 있고 청계천 산책이 가능하며 광화문까지 도보로 이동가능함,
전반적으로 고급스러운 느낌의 레지던스에요. 다만 티비가 IPTV가 아닌점이 아쉬웠어요. 고급진 주방에 화장실도 깔끔하고 좋아요. 욕조는 없고 위치도 교대역 근처라 좋았어요.,8
그냥 무난히 깔끔해요. 방은 별로 크지않고위치는 신논현역 근처라 위치는 최고입니다. 관광객이 많이 와서 묶는 것 같습니다.,9
영동대로변에 있어서 좋음한강뷰라고 방을 배정받았는데앞에 자이랑 래미안때문에 ㅋㅋㅋ 애매 했음방은 크고 좋았는데비즈니스급이어서인지 어메니티가 그.. 벽에 붙어있는거 그거여서 좀 .. 싼 가격에 나름 뭐 괜찮았음,4/19
"JW 메리어트 동대문스퀘어는 친구 초대로 몇번 방문한 적이 있는데요~작고 예쁜 페스티벌이나 파티를 너무 정성스럽게 준비해주세요. 직원분들도 가족처럼 편하고  친절해서 다녀오면 늘 기분이 좋아집니다지난 주말에 그곳 griffinbar에서 주체하는 칵테일&부페 파티에 친구들과 다녀왔는데 칵테일,음식, 바비인형으로 장식한 테이블 세팅까지 너무너무 행복한 시간이었습니다교통과 동대문 쇼핑이 편리하고 무엇보다 오픈한지 얼마 안되어 깨끗하고 퀄리티 있는 서비스 때문에 꼭 추천하고 싶네요~~^^",
"위치는 서울역에서 가까워요. 지하 아케이드도 연결된다고 하는 것 같았아요.룸은 크지 않아요. 더블베드의 한쪽에만 테이블이 있는 정도의 사이즈? 하지만 지내는데에 불편할 정도는 아니었습니다. 조식도 가격대비 좋았고, 점심은 가끔 와서 먹어도 될 정도로 가성비가 좋았습니다. 근처에 특별한 시설은 없지만 남산 쪽 산책하기 좋았어요.",2/9
"공항 고속버스 역까지 도보 5분, Hyehua 지하철역에서 도보 5분, 합리적인 가격에 호스텔 근처에 좋은 음식점이 많습니다. 모든 편의점이 도보로 5분 거리에 있습니다.  위치가 아주 편리합니다. | Backpackers Inside 직원들은 매우 친절하고 많은 도움을 주었습니다. 이 아늑한 장소를 사랑합니다. | 온수기 파이프 작동에 문제가 있었습니다. 물이 1분간 뜨거웠다가 다음 1분간은 차가웠습니다.  편안하게 샤워할 수 있도록 물을 채우는 물통을 제공하면 좋을 듯 싶습니다. | 전체적으로 쾌적했고, 패밀리 디럭스 룸에서 4박을 묵었습니다. ",8
휴식차원에서 집근처 호텔을 찾다가 방문.당일예약이 호텔사이트에서 안되서 급하게 인터파크 프로모션으로 룸 업그레이드해서 방문.결론적으로 좋았다.바로 역삼성당이 보여서 운치도 나쁘지 않았다,
쉐프팔레트에 친구들과  오랜만에 약속잡고 식사하려고 방문했습니다. 새롭게 바뀐 컨셉도 좋았지만 음식은 여전히 맛있었어요. 제공해주는 탄산수도 센스있는 선택인듯해요. 날씨 좋은 계절에 야외에서 운치있게 식사하면 정말 좋을듯해요. 호텔이 예전보다 분위기가 훨씬 좋아져서 전반적으로 아주 좋아요.,20
"친구들과 모처럼 생일을 맞아 호텔예약을 했는데, 무료로 업그레이드도 해주시고 ㅋㅋ 객실도 넓고 깨끗해서 좋았어요 !! 특히 12시에 맞춰서 케잌을 객실에 올려달라는 부탁에도 흔쾌히 들어주시고 직원들 친절해요 !!",
침대가 과도하게 안락하여 밖에 나가지 못할 수가 있으니 주의하세요 ㅋㅋㅋㅋ 1층 로비에서 커피마시고 눕는 의자에서 친구들과 시간을 보내는것도 추천해요,
"객실도 너무 깨끗하고 침구류는 너무 마음에 드네요여의도나 강서 지역 쪽 방문하신다면 접근이 용이한 글래드 여의도 추천드립니다서비스, 숙소, 위치 어느하나 빠는 것 없습니다.",
"서울 중심가에 있는 호텔은 아니지만, 한적하게 휴가를 즐기기에는 아주 훌륭한 호텔이다. 수영장도 깨끗했고, 자꾸지가 있어서 아이들과 함께 쉬기에 아주 좋았다. 조식도 훌륭했으며, 나중에 기회가 된다면 저녁 식사도 한번 해보면 좋겠다는 생각이 들었다. 자녀들이 있어서 엑스트라베드를 넣어서 사용했는데 넓직하니 괜찮았다.힐튼호텔은 종종 할인행사를 하는데 그럴때에 저렴한 가격으로 이용한다면 좋을 것 같다.",
저렴한 비용이 매우 인상이 깊었는데 조식까지 무료로 제공을 해줘 매우 만족이었습니다.조식은 종류는 적당히 준비가 잘 되어있고 맛은 보통입니다.프론트 직원분들이 레스토랑 직원이나 어디든 직원분들이 환한 미소로 인사를 해주셔 환영받는 느낌이었습니다. 객실은 넓으니 깔끔했습니다. 하지만 욕실은 곰팡이 같은게 좀 있고 좀 깔끔하지는 못한 느낌을 받았습니다. 또한 도로쪽에 있는 객실에 묵었는데 밤에는 잠을 자려니 방음이 좀 잘되지 않았습니다.,6/7
"출장으로 방문했는데, 부대시설도 깔끔하고 서비스도 좋았습니다. 특히나 남산이 보이는 뷰와 훌륭한 다이닝 레스토랑이 가장 좋았습니다. 다음 출장때도 이용하고 싶네요.",
"메트로 호텔에 두번째 투숙입니다. 어른 9명과 21개월 아이와 함께 서울로 가족여행을 하였고, 6개의 객실이 필요하였습니다. 만실로 인해 우리에게 모든 객실을 제공하는 어려움이 있었습니다만, 예약직원은 마지막까지 노력하여 우리의 요청에 맞춰 객실을 제공해 주었습니다. 내 손녀가 39도의 발열이 있었고, 직원은 애를 쓰며 우리를 도와 주었습니다. 또한 매니져 Sky도 많은 도움을 주었습니다. 우리는 자주 여행하는 사람들이었는데 메트로 호텔이 최고 호텔 중 하나라는 것에 모두 동의하였습니다. 객실마다 다르지만 가격은 저렴하였고, 객실은 깨끗하고 넓었으며, 서비스는 흠잡을데 없이 완벽합니다. 1층에 있는 2명의 보안직원은 항상 미소로 환영해 주었고, 도움이 필요하면 언제든지 도와주었습니다. 조식당 직원들은 아침 인사로 언제나 손님들을 맞이하였습니다. 조식부페는 맛있었고, 사람들이 많이 붐비고 10시에 종료되기 전임에도 불구하고 바로바로 음식들이 다시 채워졌습니다. 서울 여행을 한다면 메트로 호텔을 강력 추천합니다. 한가지 팁은 호텔 웹사이트에서 직접 예약하는 것입니다. 그러면 직원이 커넥팅 객실은 없지만 거기에는 아기를 동반한 가족들을 위한 3개의 멋지고 넓은 Family 객실이 있다는 것을 알려줄 것입니다. 그리고 무선 인터넷과 조식이 무료입니다! 서울을 방문하면 메트로호텔에 예약하세요. 절대 후회하지 않을것입니다.",13
직원분들 모두 친절하고 부모님 생신기념 디럭스투베드룸 이용했는데 넓고 깨끗하고 좋았어요:) 뷰도 좋아요 조식도 괜찮음,
돈이 문제지. 호텔은 정말 백점입니다. 일반객실에 1박 했는데요. 보통 같은 급의 객실보다 1.5배는 넓었던 거 같아요. 인테리어 하나하나 다 고급스럽고요. 1. 어매니티가 특히 좋았습니다. 따로 제작한 어매니티라는데 향도 좋고 바디로션 향도 오래가고 따로 구입하고 싶을 정도였어요. 2. 로비에서 나던 은은한 향 어매니티와 같은 종류의 허브향이 오고 가는 내내 나던데 고급스럽고 마음이 편안해 지는 향이었습니다. 3. 뛰어난 접근성 일이 근처에 있었는데 서울 어디를 가든 지하철 버스 택시 다 이용하기 편합니다. 특히나 어린 아이가 있는 가족들은 대중교통 이용해도 하나도 무리가 없겠네요. 4. 침구가 정말 좋습니다. 너무 하드하지도 너무 소프트하지도 않은 침대와 베개들이 너무 편안했어요. 재방문 의사는 넘치나 6성급이라 그런지 가격이 조금 부담스럽긴 합니다. 그럼에도 시내에 있는 같은 급의 호텔에 비해 압도적으로 마음에 드는 호텔이었습니다. ,20
딱!.. 호텔놀이 하기 좋은 정도 입니다.수영장이 있어서 애들 대려가기도 좋고...인사동이라 외부 활동 하기도 괜찮고....가격 대비 아침 식사는 별로 인듯...,11
특히 박형순님 친절하게 웃으면서 아이컨택까지 너무 너무 기분 좋은 서비스 감사드려요다시 방문 하게 된다면 이분을 꼭 찾겠습니다,
"남자친구와 기념일이여서 그랜드워커힐 더뷔페에서 밥먹었고 왔어요.엊그제 친구들과 바이킹스워프 갔다온지라 저는 음식이 전체적으로 부실해보였어요.근데, 남자친구는 더뷔페에 먹을게 진짜 많다며....은근 미안해지더라고요... ㅋㅋ(미안)맛있게 식사 후에 남친과 기념일이라전에 갔었던 Woobar를 가려고 했는데 Rebar로 바뀌었네요.호텔이름도 ""비스타워커힐""내부구조는 그대로인데 인테리어를 새로해서 좀 더 감각적으로 바뀐느낌?기념일이라고 칵테일추천 해주셔서 마시고 왔어요~~^^""카시스프라페"" 이게 입안의 향수라는 별명인 키스를 부르는 칵테일이라며..ㅋㅋㅋㅋ설명도 재미나게 잘해주셔서 남자친구가 좋아했어요~~ ^^사진도 예쁘게 찍어주셔서 감사합니다조만간 또 갈게요! 번창하세요!",10
남산이 보이는 객실이 좋았습니다. 객실은 넓진 않지만 아늑했습니다. 침대도 푹신하여 푹 잘수있었습니다.,9
정말 기분 좋은 경험이였습니다!오랜만에서 친구가족들과의 서울모임에 방을 같은 층으로 배정해주기위해 노력해주신 정준상님덕분애 행복한 숙박이였습니다!이전 크리마스때 보고 다시보게된 edwin oh님도 환한 미소로 응대해주셔서 즐거웠습니다!체크인 도안 줄곧 신경써주신 스텝들과 jack jung님 덕분에 친구들한테도 칭찬^^!다음 투숙도 기대됩니다,
"놀라운 고객 서비스. 한국에 있는 거의 모든 호텔에 가봤는데, 이 호텔이 가장 합리적인 가격에, 가장 편리하고, 가장 깨끗한 저가형 호텔인 것 같습니다.  부페는 훌륭했고 가격 또한 아주 좋았죠. 패밀리 스위트룸이 맘에 드는데, 정말 세련되고 멋지게 리모델링 되어 있었습니다.확실하게 다시 방문할 예정입니다.",
